storm_id,storm_name,year,fulldate,time,lat_center,lon_center,max_sus_wind_speed,
2000217N11342,ALBERTO,2000,20000813,0300,37.7137,-51.1645,100,
2000217N11342,ALBERTO,2000,20000813,0600,38,-50.3,95,
2000217N11342,ALBERTO,2000,20000813,0900,38.2147,-49.3216,90,
2000217N11342,ALBERTO,2000,20000813,1200,38.4,-48.3,85,
2000217N11342,ALBERTO,2000,20000813,1500,38.6139,-47.3075,80,
2000217N11342,ALBERTO,2000,20000813,1800,38.8,-46.3,75,
2000217N11342,ALBERTO,2000,20000813,2100,38.9219,-45.2495,70,
2000217N11342,ALBERTO,2000,20000814,0000,39,-44.2,65,
2000217N11342,ALBERTO,2000,20000814,0300,39.0647,-43.1624,62,
2000217N11342,ALBERTO,2000,20000814,0600,39.1,-42.2,60,
2000217N11342,ALBERTO,2000,20000814,0900,39.1067,-41.3472,57,
2000217N11342,ALBERTO,2000,20000814,1200,39.1,-40.6,55,
2000217N11342,ALBERTO,2000,20000814,1500,39.1148,-39.8903,52,
2000217N11342,ALBERTO,2000,20000814,1800,39.1,-39.3,50,
2000217N11342,ALBERTO,2000,20000814,2100,39.0448,-38.8023,47,
2000217N11342,ALBERTO,2000,20000815,0000,38.9,-38.5,45,
2000217N11342,ALBERTO,2000,20000815,0300,38.6598,-38.4404,45,
2000217N11342,ALBERTO,2000,20000815,0600,38.3,-38.5,45,
2000217N11342,ALBERTO,2000,20000815,0900,37.8074,-38.4695,45,
2000217N11342,ALBERTO,2000,20000815,1200,37.3,-38.5,45,
2000217N11342,ALBERTO,2000,20000815,1500,36.9125,-38.6627,42,
2000217N11342,ALBERTO,2000,20000815,1800,36.6,-38.9,40,
2000217N11342,ALBERTO,2000,20000815,2100,36.3498,-39.1194,40,
2000217N11342,ALBERTO,2000,20000816,0000,36.1,-39.4,40,
2000217N11342,ALBERTO,2000,20000816,0300,35.7723,-39.7547,40,
2000217N11342,ALBERTO,2000,20000816,0600,35.4,-40.2,40,
2000217N11342,ALBERTO,2000,20000816,0900,35,-40.7276,40,
2000217N11342,ALBERTO,2000,20000816,1200,34.6,-41.3,40,
2000217N11342,ALBERTO,2000,20000816,1500,34.2273,-41.8497,40,
2000217N11342,ALBERTO,2000,20000816,1800,33.9,-42.4,40,
2000217N11342,ALBERTO,2000,20000816,2100,33.6276,-42.9797,42,
2000217N11342,ALBERTO,2000,20000817,0000,33.4,-43.5,45,
2000217N11342,ALBERTO,2000,20000817,0300,33.1621,-43.8798,45,
2000217N11342,ALBERTO,2000,20000817,0600,33,-44.2,45,
2000217N11342,ALBERTO,2000,20000817,0900,32.9698,-44.5347,47,
2000217N11342,ALBERTO,2000,20000817,1200,33,-44.9,50,
2000217N11342,ALBERTO,2000,20000817,1500,32.9851,-45.3502,50,
2000217N11342,ALBERTO,2000,20000817,1800,33,-45.8,50,
2000217N11342,ALBERTO,2000,20000817,2100,33.0698,-46.1725,52,
2000217N11342,ALBERTO,2000,20000818,0000,33.2,-46.5,55,
2000217N11342,ALBERTO,2000,20000818,0300,33.3699,-46.8151,55,
2000217N11342,ALBERTO,2000,20000818,0600,33.6,-47.1,55,
2000217N11342,ALBERTO,2000,20000818,0900,33.8924,-47.365,57,
2000217N11342,ALBERTO,2000,20000818,1200,34.2,-47.6,60,
2000217N11342,ALBERTO,2000,20000818,1500,34.48,-47.83,62,
2000217N11342,ALBERTO,2000,20000818,1800,34.7,-48,65,
2000217N11342,ALBERTO,2000,20000818,2100,34.8074,-48.0727,70,
2000217N11342,ALBERTO,2000,20000819,0000,34.9,-48.1,75,
2000217N11342,ALBERTO,2000,20000819,0300,35.0925,-48.1574,77,
2000217N11342,ALBERTO,2000,20000819,0600,35.3,-48.2,80,
2000217N11342,ALBERTO,2000,20000819,0900,35.45,-48.2076,82,
2000217N11342,ALBERTO,2000,20000819,1200,35.6,-48.2,85,
2000217N11342,ALBERTO,2000,20000819,1500,35.7925,-48.2074,87,
2000217N11342,ALBERTO,2000,20000819,1800,36,-48.2,90,
2000217N11342,ALBERTO,2000,20000819,2100,36.2075,-48.1575,90,
2000217N11342,ALBERTO,2000,20000820,0000,36.4,-48.1,90,
2000217N11342,ALBERTO,2000,20000820,0300,36.55,-48.0499,90,
2000217N11342,ALBERTO,2000,20000820,0600,36.7,-48,90,
2000217N11342,ALBERTO,2000,20000820,0900,36.9,-47.9575,87,
2000217N11342,ALBERTO,2000,20000820,1200,37.1,-47.9,85,
2000217N11342,ALBERTO,2000,20000820,1500,37.2425,-47.8074,85,
2000217N11342,ALBERTO,2000,20000820,1800,37.4,-47.7,85,
2000217N11342,ALBERTO,2000,20000820,2100,37.6425,-47.6,85,
2000217N11342,ALBERTO,2000,20000821,0000,37.9,-47.5,85,
2000217N11342,ALBERTO,2000,20000821,0300,38.0925,-47.3924,82,
2000217N11342,ALBERTO,2000,20000821,0600,38.3,-47.3,80,
2000217N11342,ALBERTO,2000,20000821,0900,38.5474,-47.2717,80,
2000217N11342,ALBERTO,2000,20000821,1200,38.9,-47.2,80,
2000217N11342,ALBERTO,2000,20000821,1500,39.4049,-47.0023,80,
2000217N11342,ALBERTO,2000,20000821,1800,40,-46.7,80,
2000217N11342,ALBERTO,2000,20000821,2100,40.5778,-46.3004,77,
2000217N11342,ALBERTO,2000,20000822,0000,41.2,-45.9,75,
2000217N11342,ALBERTO,2000,20000822,0300,41.8841,-45.6917,75,
2000217N11342,ALBERTO,2000,20000822,0600,42.6,-45.4,75,
2000217N11342,ALBERTO,2000,20000822,0900,43.2473,-44.8019,72,
2000217N11342,ALBERTO,2000,20000822,1200,44,-44,70,
2000217N11342,ALBERTO,2000,20000822,1500,44.9888,-43.1369,67,
2000217N11342,ALBERTO,2000,20000822,1800,46.1,-42.1,65,
2000217N11342,ALBERTO,2000,20000822,2100,47.1776,-40.8564,65,
2000217N11342,ALBERTO,2000,20000823,0000,48.3,-39.5,65,
2000217N11342,ALBERTO,2000,20000823,0300,49.4789,-38.0622,60,
2000217N11342,ALBERTO,2000,20000823,0600,50.7,-36.8,55,
2000217N11342,ALBERTO,2000,20000823,0900,51.8424,-35.9869,50,
2000217N11342,ALBERTO,2000,20000823,1200,53.2,-35.4,45,
2000217N11342,ALBERTO,2000,20000823,1500,55.0955,-34.8564,45,
2000217N11342,ALBERTO,2000,20000823,1800,57,-34,45,
2000217N11342,ALBERTO,2000,20000823,2100,58.3472,-32.3923,42,
2000217N11342,ALBERTO,2000,20000824,0000,59.5,-30.3,40,
2000217N11342,ALBERTO,2000,20000824,0300,60.6825,-27.8102,37,
2000217N11342,ALBERTO,2000,20000824,0600,62,-25.5,35,
2000217N11342,ALBERTO,2000,20000824,0900,63.7413,-24.0891,35,
2000217N11342,ALBERTO,2000,20000824,1200,65.5,-23,35,
2000217N11342,ALBERTO,2000,20000824,1500,66.923,-21.8438,32,
2000217N11342,ALBERTO,2000,20000824,1800,68,-20,30,
2000217N11342,ALBERTO,2000,20000824,2100,68.5704,-16.5376,30,
2000217N11342,ALBERTO,2000,20000825,0000,69,-12.5,30,
2000217N11342,ALBERTO,2000,20000825,0300,69.7476,-8.70117,30,
2000217N11342,ALBERTO,2000,20000825,0600,70.7,-4.9,30,
2000227N23267,BERYL,2000,20000813,1800,22.5,-93.5,30,
2000227N23267,BERYL,2000,20000813,2100,22.5799,-93.6001,30,
